carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,BIOMASS_Ec_iML1515_core_75p37M,condition
EX_glc__D_e,0.0,0.0,0.0,6.738439933311021,0.33692199666555106,0.30323037301114153,1.1240839126270945,high_glucose
EX_glc__D_e,0.0,0.0,0.0,5.781507271207384,0.28907536356036917,0.26016832141641116,1.2177575720126856,high_glucose
EX_glc__D_e,0.0,0.0,0.0,4.824574609103365,0.24122873045516827,0.21710626982166364,1.3114312313982768,high_glucose
EX_glc__D_e,0.0,0.0,0.0,3.867641946999605,0.19338209734998024,0.17404421822692773,1.4051048907838681,high_glucose
EX_glc__D_e,0.0,0.0,0.0,2.9012161471637303,0.14506080735818652,0.13055497462275878,1.4987785501694593,high_glucose
EX_glc__D_e,0.0,0.0,0.0,1.9341440981092402,0.09670720490546202,0.08703664974850975,1.5924522095550504,high_glucose
EX_glc__D_e,0.0,0.0,0.0,0.9670720490546926,0.04835360245273463,0.04351832487425814,1.6861258689406418,high_glucose
EX_glc__D_e,0.0,0.0,0.0,0.0,0.0,0.0,1.779799528326233,high_glucose
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,8.395000000000035,0.8395000000000035,0.7555514352348676,0.0,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,8.061946883834755,0.8061946883834755,0.7255765978402134,0.01860326912834807,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,7.725450353428236,0.7725450353428236,0.6952918525751512,0.03720653825669614,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,7.370790687139812,0.7370790687139812,0.6633724219754923,0.05580980738504421,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,6.981760499736188,0.6981760499736187,0.6283596385993759,0.07441307651339228,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,6.553867291336758,0.6553867291336758,0.5898491766894962,0.09301634564174036,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,6.125974082937383,0.6125974082937383,0.5513387147796215,0.11161961477008842,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,5.698080874538109,0.569808087453811,0.5128282528697558,0.1302228838984365,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,5.270187666138935,0.5270187666138936,0.47431779095989907,0.14882615302678456,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,4.84229445773952,0.484229445773952,0.4358073290500207,0.16742942215513262,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,4.414401249340184,0.4414401249340184,0.39729686714014945,0.1860326912834807,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,3.9644587748485005,0.39644587748485005,0.35680196751235693,0.20463596041182877,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,3.499218185001995,0.3499218185001995,0.31493023488721794,0.22323922954017683,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,3.019690402476961,0.30192820676568083,0.2717187905815496,0.24184249866852492,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,2.5164086687309744,0.2516042218216962,0.2264288735358472,0.260445767796873,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,2.013126934984937,0.20128128378115143,0.18114033735385587,0.27904903692522104,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,1.5098452012388615,0.15095939261137958,0.13585318197242496,0.2976523060535691,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,1.0065634674927202,0.10063854827971107,0.09056740732840415,0.3162555751819172,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,0.5032817337465746,0.05031875075348677,0.04528301335865533,0.33485884431026525,low_oxygen
"EX_co2_e, EX_glc__D_e",0.0,0.0,0.0,0.0,5.389211808004398e-14,4.8498534809628773e-14,0.35346211343861333,low_oxygen
EX_glc__D_e,0.0,0.0,0.0,8.956893203883503,0.8956893203883503,0.8061219196473597,0.0,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.85838326540838,0.885838326540838,0.7972560083430382,0.00974666540382029,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.75987332693325,0.875987332693325,0.7883900970387163,0.01949333080764058,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.661363388458097,0.8661363388458097,0.7795241857343924,0.029239996211460867,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.562853449982986,0.8562853449982986,0.7706582744300721,0.03898666161528116,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.464343511507849,0.8464343511507849,0.7617923631257495,0.04873332701910145,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.36583279405652,0.8365832794056519,0.7529263817134365,0.058479992422921734,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.267322725751981,0.8267322725751981,0.7440604587244456,0.06822665782674203,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.168812657447512,0.8168812657447513,0.735194535735461,0.07797332323056232,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.070302589142955,0.8070302589142955,0.7263286127464683,0.0877199886343826,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.971792520838516,0.7971792520838517,0.7174626897574864,0.0974666540382029,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.873282452534009,0.7873282452534008,0.7085967667684983,0.10721331944202318,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.774772384229494,0.7774772384229495,0.6997308437795096,0.11695998484584347,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.676262315924971,0.767626231592497,0.6908649207905201,0.12670665024966377,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.577752247620547,0.7577752247620547,0.6819989978015395,0.13645331565348406,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.479242179315999,0.7479242179315998,0.6731330748125477,0.14619998105730433,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.380732111011531,0.738073211101153,0.6642671518235631,0.15594664646112463,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.282222042707028,0.7282222042707028,0.6554012288345755,0.16569331186494493,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.183711974402477,0.7183711974402477,0.6465353058455834,0.1754399772687652,N_limited
EX_glc__D_e,0.0,0.0,0.0,7.0852019060980584,0.7085201906098059,0.6376693828566034,0.1851866426725855,N_limited
EX_glc__D_e,0.0,0.0,0.0,8.956893203883505,0.8956893203883506,0.8061219196473598,0.0,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,8.490374375909477,0.8490374375909477,0.7641351453722123,0.04615774812773656,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,8.023855547935439,0.8023855547935438,0.7221483710970638,0.09231549625547313,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,7.55733671996141,0.755733671996141,0.6801615968219161,0.13847324438320968,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,7.09081789198741,0.709081789198741,0.638174822546771,0.18463099251094625,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,6.622127659056203,0.6622127659056203,0.5959926214542474,0.23078874063868282,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,6.151200809915121,0.615120080991512,0.5536091245204562,0.27694648876641936,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,5.679941424763434,0.5679941424763434,0.5111956992888592,0.32310423689415596,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,5.208412319545293,0.5208412319545294,0.46875799920516925,0.3692619850218925,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,4.736883214327054,0.47368832143270534,0.4263202991214703,0.41541973314962904,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,4.265354109109037,0.4265354109109037,0.3838825990377915,0.46157748127736564,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,3.793825003890857,0.37938250038908566,0.3414448989540979,0.5077352294051022,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,3.3222958986727558,0.3322295898672756,0.2990071988704115,0.5538929775328387,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,2.8507667934547003,0.28507667934547004,0.25656949878672913,0.6000507256605753,high_cdiGMP
